iter	Quantile:alpha=0.5	Quantile:alpha=0.5	MSE
327	0.183106334	0.8875726426	0.4958052112
328	0.1831449865	0.8854281712	0.4955540154
329	0.1831800054	0.8870504	0.4955732943
330	0.1832577844	0.8855177468	0.4960302601
331	0.1832194815	0.8908689391	0.4974918573
332	0.1831932109	0.8860777583	0.4957209094
333	0.183191108	0.8906910263	0.4966356399
334	0.1831524051	0.8864021658	0.4967363019
335	0.1831364302	0.8895024201	0.4972663553
336	0.1831247901	0.8878955872	0.4970871052
337	0.1831053949	0.8889218345	0.4973782101
338	0.1831112854	0.8885001028	0.4971351082
339	0.1830953695	0.8878936334	0.4968005181
340	0.1828989297	0.8876904167	0.4967681747
341	0.1828677078	0.8891805533	0.4966964077
342	0.1828479201	0.8871782643	0.4959396976
343	0.1828037453	0.8887802693	0.4951453574
344	0.1827772521	0.8860704013	0.4945304486
345	0.1827172306	0.8883421777	0.4947466706
346	0.1827380234	0.8866014353	0.4938410302
347	0.1827157137	0.8853485171	0.4932044209
348	0.182707261	0.8856207642	0.4933908403
349	0.1827127663	0.8859983738	0.4934942073
350	0.1827137015	0.8862926849	0.4934135239
351	0.1826889192	0.8851651634	0.4931177524
352	0.1826790658	0.8860946645	0.4933418643
353	0.1826663443	0.8863777662	0.4935168585
354	0.1826527008	0.8845620573	0.4930383769
355	0.1826547661	0.8868537165	0.4941705986
356	0.1826525075	0.8864417216	0.4946831949
357	0.1826391725	0.8871128376	0.4946698325
358	0.1826308275	0.8867870807	0.4946630315
359	0.1826255806	0.8869941502	0.4945766676
360	0.1826265284	0.8869960074	0.4948238413
361	0.182623039	0.8873364674	0.4946616194
362	0.1826200804	0.887044572	0.4946363939
363	0.1826250752	0.8870950094	0.4945381903
364	0.1826243423	0.8872555435	0.4946554097
365	0.1826337926	0.8876163037	0.4948460764
366	0.1826344116	0.8877211754	0.4948436224
367	0.1826361337	0.8875708712	0.4948242988
368	0.1826333289	0.8877503534	0.4948535666
369	0.1826341325	0.8875438696	0.494812457
370	0.1826353029	0.8877485054	0.4948546828
371	0.182636132	0.8875458677	0.4948129653
372	0.1826333289	0.8877503534	0.4948535666
373	0.1826341325	0.8875438696	0.494812457
374	0.1826353029	0.8877485054	0.4948546828
375	0.1826395623	0.8870341649	0.4945275421
376	0.182632758	0.8872423741	0.4946488389
377	0.182634151	0.8872132918	0.4945865983
378	0.182632806	0.8872302848	0.4946541437
379	0.1826358042	0.8871944112	0.4945766893
380	0.182634342	0.887230389	0.4946491386
381	0.1826389957	0.8871825192	0.4945693493
382	0.1826376512	0.887217277	0.49464815
383	0.1826366331	0.8870396963	0.4946057657
384	0.1826335765	0.8868410818	0.4946307013
385	0.1826290767	0.8871999046	0.4946245475
386	0.1826329782	0.8869647422	0.4946576928
387	0.1826288797	0.8871524936	0.4946057602
388	0.1826326985	0.8869766175	0.4946997289
389	0.1826301603	0.8866535577	0.4943535625
390	0.1826271019	0.8867396789	0.494466286
391	0.1826208486	0.8864975739	0.494321437
392	0.1826203996	0.8867854044	0.4944364005
393	0.1826204544	0.8865511731	0.494264801
394	0.1826230919	0.886824633	0.4944940294
395	0.1826164737	0.8864185181	0.494295354
396	0.1826173313	0.8870211748	0.4945660175
397	0.1826133957	0.8866963968	0.4943946103
398	0.1826113298	0.8868727427	0.4945015475
399	0.1826035265	0.8869431122	0.4944534375
